Inventario,Localizzazione,Collocazione,Tipo di documento,Autore,Titolo,Luogo,Editore,Anno,Note,ISBN,CDD,Descrizione CDD,Curatore,Traduttore,Lingua
,Polo Liceale,armadio 5,volume,Bloch Marc,La società feudale,,Einaudi,1974,"Einaudi Reprints, 10",,940.01.00,STORIA GENERALE DELL'EUROPA FINO AL 1453,,,
,Polo Liceale,armadio 5,volume,Bobbio Norberto,Il futuro della democrazia,,Einaudi,1991,,88-06-12764-0,,,,,
,Polo Liceale,armadio 7,volume,Boccaccio Giovanni,Decameron,,Il Capitello,1995,Viviana Bombonati,,,,"Castelli Giulio, Stassi Maria Gabriella",,
,Polo Liceale,armadio 7,volume,Boccaccio Giovanni,Decameron,,BUR,,Vol 1-2,88-17-12002-2,,,Marti Mario,,
,Polo Liceale,Armadio 5,volume,Bocchini Sergio,Religione e religioni,,EDB,,Testo scolastico,88-10-61197-7,,,,,
,Polo Liceale,armadio 8,volume,Boezio Severino,La consolazione della filosofia,,,,Testo latino a fronte,88-17-12105-3,,,,,
,Polo Liceale,Armadio 8,volume,"Boffi Guido, Calabi Clotilde, Cattanei Elisabetta",Dal senso comune alla filosofia,,Sansoni,,Testo scolastico,88-383-4638-0,,,,,
,Polo Liceale,armadio 7,volume,Bollati Giulio,L'Italiano,,Einaudi,,,88-06-05647-6,,,,,
,Polo Liceale,armadio 11,volume,Bonaccia Maria Rosaria,"Latina, anni '50, il “riscatto” e la “lotta socialista” : prima parte",,Centro studi Angelo Tomassini,,Avaiti,,,,,,
,Polo Liceale,armadio 8,volume,Bonanno Carmelo,L'età medievale nella critica storica : seconda edizione riveduta e ampliata da Sergio Cella,Padova,Liviana editrice,1968,,,,,,,
,Polo Liceale,Armadio 7,volume,"Boni, Casati, Russo",In forma di : racconto,,Einaudi,,Testo scolastico,88-286-0513-8,,,,,
,Polo Liceale,Armadio 6,volume,"Borbein, Laubepin, Parizet",Vivement la France,,Bruno Mondadori,1989,Testo scolastico,88-424-7158-5,,,Anzalone Marie-France,,
,Polo Liceale,armadio 10,volume,Bordihn Maria R.,Il falco di svevia,Milano,Marco Tropea,2005,Pennarola Rotigliano,88-438-0543-6,8,,,,
,Polo Liceale,armadio 9,volume,Borges Jorge Luis,Evaristo Carriego,Milano,Palazzi,1970,,,,,,Brocca Vanna,
,Polo Liceale,armadio 9,volume,Borges Jorge Luis,Venticinque agosto 1983 e altri racconti inediti,,Franco Maria Ricci,1977,,88-216-0219-2,,,,,
,Polo Liceale,armadio 9,volume,Borges Jorge Luis,Altre inquisizioni,,Feltrinelli,1963,,,,,,Tentori Montalto Francesco,
,Polo Liceale,armadio 7,volume,Borzi Italo,Verso l'ultima salute : saggi danteschi,,Rusconi,1985,,,,,,,
,Polo Liceale,armadio 5,volume,Bosi Roberto,L'Italia prima dei Romani,Milano,Bompiani,1989,,88-452-1487-7,937.01.00,STORIA DELL'ANTICA PENISOLA ITALICA E TERRITORI ADIACENTI,,,
,Polo Liceale,Armadio 6,volume,"Bottin L, Marchiori A.",Epmhneia : versioni e sintassi per il liceo classico,,Minerva italica,1992,Testo scolastico,88-298-0816-4,,,,,
,Polo Liceale,armadio 11,volume,Boulnois Luce,"la via della seta : dei, guerrieri, mercanti",,Bompiani,,Avaiti,88-452-3447-9,,,,,
,Polo Liceale,armadio 5,volume,Bove Gennaro,"Il Francescanesimo nel Lazio : tradizioni, memorie, ricordi",,Amm. prov. del Lazio,1994,Doc. di interesse locale,,250,,,,
,Polo Liceale,armadio 11,volume,Boyer Regis,La vita quotidiana dei Vichinghi (800-1050),,BUR,,Avaiti,88-17-16977,900,,,,
,Polo Liceale,Armadio 7,volume,"Brachi, Morandi",Boschi narrativi,,Sansoni,,Testo scolastico,88-383-1602-3,,,,,
,Polo Liceale,armadio 11,volume,Bradbury Ray,Fahrenheit 451. Cronache marziane,,Mondadori,,Avaiti,88-04-48347-4,,,,,
,Polo Liceale,armadio 11,volume,Branca Gaetano,Storia di viaggiatori italiani :  dal XIII al XIX secolo,,Librerie Arion,1997,Avaiti,,,,,,
,Polo Liceale,armadio 5,volume,Branca Paolo,I musulmani,,Il mulino,,,88-15-07388-4,,,,,
,Polo Liceale,Armadio 5,volume,Brancati Antonio,I popoli del Mediterraneo,,La Nuova Italia,1985,Testo scolastico,88-221-0456-0,,,,,
,Polo Liceale,Armadio 7,volume,"Brancati Antonio, Pagliarani Trebi",Dialogo con la storia : 1. Dalla crisi del Trecento alla metà del Seicent,,,,Testo scolastico,88-221-5323-5,,,,,
,Polo Liceale,armadio 9,volume,Brandon Jay,Non luogo a procedere,,Leonardo,,,88-355-0132-6,,,,,
,Polo Liceale,armadio 6,volume,"Braunmuller A.R., Hattaway Michael",The Cambridge companion to English Renaissance drama,,Cambridge University press,1990,Testo inglese,0-521-38662-4,,,,,
,Polo Liceale,armadio 9,volume,Brelich Mario,Il sacro amplesso,Milano,Adelphi,1972,Biblioteca Adelphi 36,,,,,,
,Polo Liceale,armadio 9,volume,Brelich Mario,L'opera del tradimento,Milano,Adelphi,1975,Biblioteca Adelphi 57,,,,,,
,Polo Liceale,Armadio 6,volume,"Bresadola, Cirillo, Calzetti",Reading strategies,,La Nuova Italia,1979,Testo scolastico,,,,,,
,Polo Liceale,armadio 11,volume,Brigraglia franco,Il romanzo inglese in versione semplificata : analisi comparativa di Grando speranze di Charles dickens,Roma,Edizioni dell'università Popolare,,Avaiti,88-86268-50-5,,,,,
,Polo Liceale,armadio 11,volume,Briosi Sandro,Vittorini,Bologna,La nuova Italia,1977,collana : la nuova italia; a cura di Sandro Briosi,,8,,,,
,Polo Liceale,armadio 7,volume,Briosi Sandro,F. T. Marinetti,,La nuova Italia,1969,"Il Castoro, 34",,,,,,
,Polo Liceale,armadio 7,volume,Briosi Sandro,Elio Vittorini,,La nuova Italia,1970,"Il Castoro, 43-44",,,,,,
,Polo Liceale,armadio 11,volume,Brodkey Harold,Lo stato di grazia e altri racconti,Milano,Il sole 24 ore,2011,collana : i libri della domenica - 41,,8,,,,
,Polo Liceale,armadio 8,volume,"Bronowski Jacob, Mazlish Bruce",La tradizione intellettuale dell'Occidente : da Leonardo a hegel,Milano,Edizioni di comunità,1962,,,,,,,
,Polo Liceale,armadio 6,volume,Bronte Charlotte,Jane Eyre,,Longman,1976,Testo inglese,0-582-53843-2,,,,,
,Polo Liceale,armadio 10,volume,Bronte Emily,Cime tempestose,Roma,Newton & Compton,2008,Pennarola Rotigliano,978-88-8289-149-7,820,,,,
,Polo Liceale,armadio 6,volume,Bronte Emily,Wutjering Heights,,Longman,1983,Testo inglese,0-582-53545-X,,,,,
,Polo Liceale,armadio 11,volume,Brooks Terry,Il primo re di Shannara,,Mondadori,,Avaiti,88-04-43489-9,,,,,
,Polo Liceale,armadio 11,volume,Brown Dan,Angeli e demoni,,Mondadori,2004,,88-04-53167-3,,,,,
,Polo Liceale,armadio 11,volume,Brown Dan,Il codice da vinci,,Mondadori,2003,Avaiti,88-04-52341-7,,,,,
,Polo Liceale,Armadio 7,volume,Bruni Francesco,Le voci della letteratura,,Loescher,,Testo scolastico,88-201-0256-0,,,,,
,Polo Liceale,Armadio 7,volume,"Bruscagli, Caretti, Iuti",Letteratura italiana con saggi critici : 1. dalle origini al quattrocento,,A.P.E. Mursia,[1983],Testo scolastico,,,,,,
,Polo Liceale,armadio 8,volume,Buddha,I quattro pilastri della saggezza,,Newton Compton,,,88-7983-089-9,,,"Neumann K.E., De Lorenzo G.",,
,Polo Liceale,Armadio 7,volume,Budiresi Aldo,Letteratura: forme e modelli,Torino,Società editrice internazionale,1988,Testo scolastico,88-05-01971-2,,,,,
,Polo Liceale,armadio 11,volume,Buffetaut Eric,I dinosauri,,Newton Compton,,Avaiti,88-7983-598-X,,,,,
,Polo Liceale,armadio 11,volume,Bukowski Charles,Storie di ordinaria follia,,Feltrinelli,,Avaiti,88-07-83003-5,,,,,
,Polo Liceale,armadio 11,volume,Bukowski Charles,Post office,,L'espresso,,Avaiti; Supplemento a La Repubblica,84-8130-511-1,,,,,
,Polo Liceale,armadio 11,volume,Bulgakov Michail,Cuore di cane,Milano,Gruppo editoriale l'Espresso,2011,collana : la biblioteca di repubblica – 16; La repubblica,,8,,,,
,Polo Liceale,armadio 6,volume,Bulgakov Michail,Il maestro e Margherita,,Newton,1992,,,,,,Arcella Salvatore,
,Polo Liceale,armadio 6,volume,Bulgakov Michail,Romanzi e racconti,Roma,Newton,1990,Biasetto Sabrina,,,,,,
,Polo Liceale,armadio 5,volume,Burckhardt Jacob,La civiltàdelRinasimento in Italia,,Newton Compton,1974,"Paperbacks sotrici, 16; Moscati Ruggero (introduzione di)",,945.05.00,"STORIA. ITALIA. PERIODO DALLA PESTE NERA ALLA DISCESA DI CARLO VIII,",,,
,Polo Liceale,Armadio 12,volume,"Busnelli D, Cappellini G",La comunicazione in regola : educazione linguistica e testuale per la scuola secondaria di secondo grado,Torino,Il capitello,2009,Testo scolastico,9788842668411,,,,,
,Polo Liceale,armadio 11,volume,Buticchi Marco,Le pietre della Luna,,R.L. Libri,,Avaiti,88-462-0031-4,,,,,
,Polo Liceale,armadio 11,volume,Buzzati Dino,Il deserto dei Tartari,,Mondadori,,Avaiti,88-04-45087-8,,,,,
,Polo Liceale,armadio 11,volume,Caccia Dominioni Paolo,Alamein : 1933-1962,Milano,Longanesi,1966,Avaiti,,,,,,
,Polo Liceale,armadio 9,volume,Cacopardo Domenico,Cadenze d'inganno,,Marsilio,,,88-317-7907-9,,,,,
,Polo Liceale,armadio 9,volume,Cacopardo Domenico,Il caso Chillè,,Marsilio,,,88-317-7235-X,,,,,
,Polo Liceale,armadio 9,volume,Cacopardo Domenico,L'endiadi del dottor Agrò,,Marsilio,,,88-317-7642-8,,,,,
,Polo Liceale,Armadio 7,volume,"Cadioli, Di Alesio, Esposito, Vincenzi",La letteratura e i suoi classici : 4. L'età della Rivoluzione francese e di Napoleone. Romanticismo e Risorgimento,,Archimede,,Testo scolastico,88-7952-178-0,,,,,
,Polo Liceale,Armadio 4,volume,"Cadioli, Di Alesio, Esposito, Vincenzi",Biblioteca : 5. Dopo l'Unità : positivismo e decadentismo,,Archimede,1997,Testo scolastico,88-7952-179-9,,,,,
,Polo Liceale,Armadio 4,volume,"Cadioli, Di Alesio, Esposito, Vincenzi",Biblioteca : 6. Il Novecento,,Archimede,1997,Testo scolastico,88-7952-180-2,,,,,
,Polo Liceale,Armadio 7,volume,"Caffi, Corbellini, Porro",Figure : epica e miti dell'immaginario collettivo,,Thema,,Testo scolastico,88-7608-481-9,,,,,
,Polo Liceale,armadio 7,volume,Caio Giulio Cesare,Diario di guerra : antologia dal Bellum Gallicum e dal Bellum civile,,Le Monnier,1969,,,,,Giannelli Giulio,,
,Polo Liceale,armadio 7,volume,Caldarone Nicola,Donna de Paradiso,,Ellemme,,,88-85766-76-5,,,,,
,Polo Liceale,armadio 6,volume,Calonghi Ferruccio,Dizionario Latino-Italiano,,Rosenberg & Seller,1991,,,,,,,
,Polo Liceale,armadio 4,volume,"Calvani Antonio, Rotta Mario",Progettare multimedia : linee guida per insegnare con gli ipertesti,,Garamond,2000,,88-86180-31-4,,,,,
,Polo Liceale,armadio 11,volume,Calvino Italo,Ultimo viene il corvo,,Garzanti,1991,Russo Francesca,88-11-66680-5,,,,,
,Polo Liceale,armadio 11,volume,Calvino Italo,Ultimo viene il corvo,,Garzanti,1991,Russo Francesca,88-11-66680-5,,,,,
,Polo Liceale,armadio 7,volume,Calvino Italo,Il sentiero dei nidi di ragno,,Mondadori,,,88-04-37591-4,,,,,
,Polo Liceale,Armadio 6,volume,"Calzoni Daniela, Viviani Angioletta","You can make it, Vol 1",,Loescher,2004,Testo scolastico,88-201-2709-1,,,,,
,Polo Liceale,Armadio 6,volume,"Calzoni Daniela, Viviani Angioletta","You can make it, Vol 2",,Loescher,2004,Testo scolastico,88-201-2710-5,,,,,
,Polo Liceale,armadio 4,volume,Camera di Commercio di Latina,Guida ai servizi della Camera di Commercio,Latina,,2002,"Doc. di interesse locale; Supplemento a ""Economia pontina"" n.368",,,,,,
,Polo Liceale,armadio 11,volume,Camilleri Andrea,La mossa del cavallo,,R.L. Libri,,Avaiti,88-462-0141-8,,,,,
,Polo Liceale,armadio 7,volume,Camilleri Andrea,Il corso delle cose,,Panorama – Sellerio,2002,Rita contucci,,,,,,
,Polo Liceale,armadio 5,volume,Campanini Massimo,Islam e politica,,Il mulino,,,88-15-07138-5,8815095438,,,,
,Polo Liceale,armadio 5,volume,Campanini Massimo,Islam e politica,,Il mulino,,,88-15-07138-5,8815095438,,,,
,Polo Liceale,Armadio 5,volume,"Campoleoni, De Carli","Culture, religioni e Cristianesimo",,Marietti,,Testo scolastico,88-393-3858-6,,,,,
,Polo Liceale,armadio 11,volume,Camus David,La croce e la spada,,Piemme,2008,Assunta F,978-88-384-7614-3,800,,,,
,Polo Liceale,armadio 11,volume,Camus David,Il cavaliere della vera croce,,Piemme,2005,Assunta F.,88-384-7613-6,800,,,,
,Polo Liceale,armadio 7,volume,Cancelli Filippo,Complemento de La Retorica a Gaio Erennio,,Aracne – Mondadori,1992,,88-7999-001-2,,,,,
,Polo Liceale,Armadio 5,volume,"Candeloro Giorgio, Lo Curto Vito",La civiltà moderna : corso di storia per le scuole medie superiori,,Paradigma,1989,Testo scolastico,,,,,,
,Polo Liceale,armadio 9,volume,Canetti Elias,Auto da Fè,Milano,Adelphi,1982,Biblioteca Adelphi 114,,,,,,
,Polo Liceale,armadio 9,volume,Canetti Elias,La lingua salvata,,,2002,"Biblioteca di Repubblica, Novecento 45",84-8130-541-3,,,,,
,Polo Liceale,armadio 5,volume,Canfora Luciano,Libro e libertà,,Laterza,1994,,88-420-4515-2,2,IL LIBRO,,,
,Polo Liceale,Armadio 12,volume,"Canfora Luciano, Roncali Renata",I classici nella storia della letteratura latina : per il liceo classico,Roma-bari,Laterza,1994,Testo scolastico,88-421-0291-1,870,,,,
,Polo Liceale,Armadio 7,volume,Cantarella Eva,Meravigliosamente : mito epica,,Einaudi,,Testo scolastico,978-88-286-1037-3,,,,,
,Polo Liceale,Armadio 5,volume,"Cantarella Eva, Guidorizzi Giulio",Storia del mondo antico : dalle origini ad Alessandro Magno,,Einaudi,1992,Testo scolastico,88-286-0115-9,,,,,
,Polo Liceale,Armadio 5,volume,"Cantarella Eva, Guidorizzi Giulio",Storia del mondo antico : Dall'Italia preromana a Giustiniano,,Einaudi,1992,Testo scolastico,88-286-0016-7,,,,,
,Polo Liceale,Armadio 4,volume,"Cantarella Eva, Guidorizzi Giulio","Le tracce della storia : 2a. Rinascita e apogeo della società medievale, Il tramonto del medioevo",,Einaudi,2001,Testo scolastico,88-286-0562-6,,,,,
,Polo Liceale,Armadio 4,volume,"Cantarella Eva, Martinotti Guido",Polis Società e storia 1 ; Diventare cittadino,,Einaudi,2010,Testo scolastico,978-88-286-0994-0,,,,,
,Polo Liceale,Armadio 4,volume,"Cantarella Eva, Guidorizzi",Profilo di storia antica e medievale,,Einaudi,1993,Testo scolastico,88-286-0169-8,,,,,
,Polo Liceale,Armadio 12,volume,Capaiuolo Fabio,Letterarum radices : antologia di autori latini per il liceo scientifico,Napoli,Loffredo,1996,Testo scolastico,88-8096-481-x,,,,,
,Polo Liceale,armadio 8,volume,Capizzi Antonio ,Introduzione a Parmenide,,Laterza,1975,I filosofi 25,,,,,,
,Polo Liceale,armadio 5,volume,Caponnetto Antonino,I miei giorni a Palermo : storie di mafia e di giustizia raccontate aSaverio Lodato,,Garzanti,1994,,88-11-02095-6,364.01.00,CRIMINOLOGIA,,,
,Polo Liceale,Armadio 7,volume,"Caputo, Schiavi",Le nouveau français,,,,Testo scolastico,88-494-0160-4,,,,,
,Polo Liceale,armadio 7,volume,Carabbia Claudio,Federigo Tozzi,,La nuova Italia,1974,"Il Castoro, 60",,,,,,
,Polo Liceale,armadio 9,multimediale,"Caracciolo Nicola, Castronovo Valerio, De Felice Renzo, Scoppola Pietro",La Grande Guerra 1915-1918,,Istituto Luce,2005,1 Vol + 2 DVD; 10 copie,,,,,,
,Polo Liceale,armadio 6,volume,Caraffi Patrizia,Libro de Apolonio,,Pratiche,1991,,88-7380-134-X,,,,,
,Polo Liceale,Armadio 4,volume,"Cardinale, Turtur",Suntexis : Strumenti linguistici ; Temi e versione dal greco,,,2000,Testo scolastico,88-7276-175-1,,,,,
,Polo Liceale,Armadio 12,volume,Carini Corrado,Vertendi causa : versioni dal latino per il triennio,Messina-Firenze,G. D'Anna,1993,Testo scolastico,88-8104-214-2,,,,,
,Polo Liceale,Armadio 12,volume,"Carini Corrado, Pezzati Maria",Latinae litterae : storia e antologia,Messina-Firenze,G. D'Anna,2004,Testo scolastico,88-81-04-796-9,,,,,
,Polo Liceale,Armadio 12,volume,"Carini Corrado, Pezzati Maria",Didascalica,Messina-Firenze,G. D'Anna,1996,Testo scolastico,88-8104-562-1,,,,,
,Polo Liceale,Armadio 12,volume,"Carini Corrado, Pezzati Maria",Oratio soluta,Messina-Firenze,G. D'Anna,1988,Testo scolastico,,,,,,
,Polo Liceale,Armadio 7,volume,"Carini, Pezzati",Storia e antologia della letteratura latina : 1. Dalle origini all'età di Silla,,G. D'Anna,,Testo scolastico,88-8104-724-1,,,,,
,Polo Liceale,Armadio 7,volume,"Carini, Pezzati",Storia e antologia della letteratura latina : 2. L'età di Cesare,,G. D'Anna,,Testo scolastico,88-8104-725-X,,,,,
,Polo Liceale,Armadio 7,volume,"Carini, Pezzati",Storia e antologia della letteratura latina : 3. L'età di Augusto,,G. D'Anna,,Testo scolastico,88-8104-726-8,,,,,
,Polo Liceale,Armadio 7,volume,"Carini, Pezzati",Storia e antologia della letteratura latina : 4. Dai successori di Augusto all'età dei Flavi,,G. D'Anna,,Testo scolastico,88-8104-678-4,,,,,
,Polo Liceale,armadio 5,volume,Caritas,Immigrazione Dossier statistico 2001 : XI rapporto sull'immigrazione,,Nuova Anterem,2001,,,300,,,,
,Polo Liceale,armadio 10,volume,"Carpinteri, Faraguna, Bordon Furio",L'austria era un paese ordinato,Milano,Longanesi & C.,1982,[Pennarola],,8,,,,
,Polo Liceale,Armadio 5,volume,"Carrieri Riccardo, Tironi Mario",Voci e immagini del mondo antico,,Edidue,2010,Testo scolastico,978-88-653-9506-6,,,,,
,Polo Liceale,Armadio 5,volume,"Carrù, Raimondi, Salietti",Gesù signore della storia,,Elle di ci - Il Capitello,,Testo scolastico,88-426-6236-4,,,,,
,Polo Liceale,armadio 8,volume,Cartesio Renato,Discorso sul metodo,,Il tripode,1989,Nicolosi Salvatore (introduzione); Avaiti,,190,,,,
,Polo Liceale,armadio 7,volume,Casa di Dante in Roma,Paradiso : letture degli anni 1979-'81,Roma,Bonacci editore,1989,,,,,,,
,Polo Liceale,armadio 10,volume,Cassier Ernst,"Storia della filosofia moderna : Il problema della conoscenza nella filosfia e nella scienza
Da Bacone a Kant
gli inizi dell'empirismo, Continuazione e compimento del razionalismo",Torino,Giulio Einaudi Editore,1978,Collana : reprints vol 1-2; Prof. Pennarola,,8,,,,
,Polo Liceale,armadio 11,volume,Cassieri Giuseppe,Le trombe,Milano,bompiani,1965,Prof. Berretta,,,,,,
,Polo Liceale,armadio 7,volume,Cassola Carlo,Fausto e Anna,,BUR,,,88-17-11367-0,,,,,
,Polo Liceale,Armadio 4,volume,Castagnoli Adriana,I Temi di Codice storia : il mercato planetario,,Paravia,2000,Testo scolastico,88-395-3428-8,,,,,
,Polo Liceale,armadio 11,volume,Castellaneta Carlo,Progetti di allegria,,Club degli editori,1978,Prof. Berretta,,,,,,
,Polo Liceale,armadio 11,volume,Castellaneta Carlo,Anni beati,,Club degli editori,1979,Prof. Berretta,,,,,,
,Polo Liceale,armadio 7,volume,"Castiglioni, Mariotti",IL : Guida al vocabolario della lingua latina,,Loescher,,Guida al dizionario,,,,,,
,Polo Liceale,armadio 9,multimediale,"Castronovo, De Felice, Scoppola, Quilici",Storia d'Italia,,Istituto Luce,,"DVD, Vol 1-4, 6-7, 9-10; Svariati doppi",,,,,,
,Polo Liceale,armadio 11,volume,Catalano Gabriele,Piovene ,Bologna ,La nuova Italia,1977,Prof. Berretta; collana : la nuova italia,,8,,,,
,Polo Liceale,armadio 7,volume,Catalano Gabriele,Guido Piovene,,La nuova Italia,1967,"Il Castoro, 5",,,,,,
,Polo Liceale,Armadio 6,volume,Cavicchioli Giancarlo,Mix : civilization and yout culture in the US and the UK since the 1950s,Bologna,Poseidonia,1996,Testo scolastico,,,,,,
,Polo Liceale,armadio 5,volume,Cazzola Franco,L'Italia del pizzo : fenomenologia della tangente quotidiana,,Einaudi,1992,,88-06-12839-6,3641,,,,
,Polo Liceale,armadio 11,volume,Cechov Anton,La steppa e altri racconti per bambini,,Mursia,,Russo Francesca,88-425-1811-5,,,,,
,Polo Liceale,armadio 6,volume,Cechov Anton,La fidanzata e altri racconti,Milano,Legatoria del sud S.r.l.,1995,collana: la biblioteca ideale tascabile,88-8111-128-4,8,,,,
,Polo Liceale,armadio 6,volume,Cechov Anton,Caccia tragica: una storia vera,Milano,Einaudi,1941,,88-06-12270-3,8,,,,
,Polo Liceale,Armadio 7,volume,"Cencini Calro, Corbetta Francesco","Popolazione, ambiente, territorio",Bologna,Cappelli,1992,Testo scolastico,,,,,,
,Polo Liceale,armadio 5,volume,Centro studi difesa sociale,La lotta non armata nella Resistenza : atti del convegno del 25 ottobre 1993,Roma,Leberit,,Quaderno n. 1,,945,,Giannini Giorgio,,
,Polo Liceale,Armadio 7,volume,Cerbo Dario,Modelli e codici testuali : 2. Il testo e i generi letterari,,La nuova scuola,,Testo scolastico,88-7276-381-9,,,,,
,Polo Liceale,Armadio 7,volume,Cerbo Dario,Modelli e codici testuali : 3. Best seller negli anni (1800-1970),,La nuova scuola,,Testo scolastico,88-7276-381-9,,,,,
,Polo Liceale,armadio 11,volume,Cercas Javier,Tornare a casa,Milano,Il sole 24 ore,2011,collana : i libri della domenica - 33,,8,,,,
,Polo Liceale,Armadio 4,volume,Ceres Piera,L'uomo e la società : corso di educazione civica,,Le Monnier,,Testo scolastico,88-00-39800-6,,,,,
,Polo Liceale,armadio 9,volume,Cervantes,Don Chisciotte della Mancia,,Garzanti,,vol 1-2,978-88-11-37001-7,,,,,
,Polo Liceale,armadio 9,volume,Cervantes,Don Chisciotte della Mancia : parte seconda,,De Agostini,1982,Collana “I capolavori della narrativa” solo vol 2,,,,,,
,Polo Liceale,armadio 11,volume,Cervantes ,Le cento pagine piu' belle,Milano,CDE s.p.a.,1982,Pr. Berretta; Collana : Le cento pagine piu' belle: a cura di Giuseppe Di Stefano,,1,,,,
,Polo Liceale,Armadio 4,volume,Cesareo Alessandro,Ta hellenikà graphein : Versioni greche per il triennio del liceo classico,,Pagine scuola,2004,Testo scolastico,9788875570323,,,,,
,Polo Liceale,armadio 11,volume,Chiara Piero,Il pretore di Cuvio,,A. Mondadori,1973,Prof. Berretta,,,,,,
,Polo Liceale,armadio 11,volume,Chiara Piero,Le corna del diavolo,,A. Mondadori,1977,Prof. Berretta,,,,,,
,Polo Liceale,Armadio 5,volume,"Chiauzza, Senatore, Storti, Vicari",La storia perché : 1. Dalla preistoria al II secolo d.C.,,Paravia,2005,Testo scolastico,88-395-1714-6,,,,,
,Polo Liceale,Armadio 12,volume,"Chiossi Rosa, Franceschini Piero",Il nuovo “leggere gli autori latini”,Bologna,Zanichelli,1993,Testo scolastico,88-08-14556-5,,,,,
,Polo Liceale,armadio 10,volume,Christie Agatha,Poirot e il mistero di Styles Court,Roma,Newton & Compton,2008,Pennarola Rotigliano,978-88-541-1116-5,820,,,Armando Bruno,
,Polo Liceale,armadio 7,volume,Ciampi Paolo,Un nome,,Guntina,2006,,88-8057-265-2,,,,,
,Polo Liceale,armadio 8,volume,"Ciancio, Ferretti, Pastore, Perone",Pérofilo di Storia della filosofia : 1. Filosofia antica e medievale,Torino,Società editrice internazionale,,Vol 1,88-05-02238-1,,,,,
,Polo Liceale,armadio 8,volume,"Ciancio, Ferretti, Pastore, Perone",Pérofilo di Storia della filosofia : 2. Filosofia moderna,Torino,Società editrice internazionale,,Vol 2,88-05-02239-X,,,,,
,Polo Liceale,armadio 8,volume,"Ciancio, Ferretti, Pastore, Perone",Pérofilo di Storia della filosofia : 3. Filosofia contemporanea,Torino,Società editrice internazionale,,Vol 3,88-05-02240-3,,,,,
,Polo Liceale,armadio 5,volume,Ciardo Manlio,L'infinito e la storia in Benedetto Croce,,Guida,1990,,88-7835-025-7,,,,,
,Polo Liceale,Armadio 7,volume,"Cigliana Rodolfo, Di Rosa Adalberto",Idea vacanze : Latino 2,,G. D'anna,1990,Testo scolastico,,,,,,
,Polo Liceale,armadio 7,volume,Cinti Decio,Dizionario dei sinonimi e contrari,Novara,De Agostini,[1978],Legatura danneggiata,,,,,,
,Polo Liceale,Armadio 7,volume,"Cioffi, Detassis, Gavazzi, Zanette",Culture e civiltà : dal Setteceno ad oggi,,Bruno Mondadori,,Testo scolastico,88-424-4018-3,,,,,
,Polo Liceale,Armadio 8,volume,"Cioffi, Luppi, Vigorelli, Zanette",I filosofi e le idee : 3,,Bruno Mondadori,,Testo scolastico,88-424-4592-4,,,,,
,Polo Liceale,Armadio 12,volume,"Citroni M, Labate M, Consolino FE, Narducci E",Letteratura di Roma antica,Roma-Bari,Laterza,1997,Testo scolastico,88-421-0396-9,870,,,,
,Polo Liceale,Armadio 12,volume,"Citti Vittorio, Casali Claudia, Franco Carlo","Astrea : antologia di autori greci, versioni e strumenti di lavoro",Torino,Società editrice italiana,2000,Testo scolastico,88-05-02681-6,,,,,
,Polo Liceale,Armadio 12,volume,"Citti Vittorio, Casali Claudia, Neri Camillo","La commedia romana : Plauto, Terenzio",Bologna,Zanichelli,2000,Testo scolastico – Rita Contucci,88-08-03575-1,,,,,
,Polo Liceale,Armadio 12,volume,"Citti Vittorio, Casali Claudia, Neri Camillo","Prosatori dell'età di Cesare : Cesare, Sallustio, Cicerone",Bologna,Zanichelli,2000,Testo scolastico – Rita Contucci,88-08-03561-1,,,,,
,Polo Liceale,Armadio 12,volume,"Citti Vittorio, Casali Claudia, Neri Camillo","Scrittori dell'età imperiale : Seneca, Tacito",Bologna,Zanichelli,2000,Testo scolastico – Rita Contucci,88-08-03569-7,,,,,
,Polo Liceale,Armadio 4,volume,"Ciuffoletti, Bldocchi, Bucciarelli,Sodi",Dentro la storia : risorse per l'insegnante,,D'Anna,2011,Testo scolastico,978-88-8321-437-0,,,,,
,Polo Liceale,armadio 9,volume,Clancy Tom,Pericolo imminente,,Rizzoli,1990,,88-17-67279-3,,,,Spinelli Piero,
,Polo Liceale,armadio 11,volume,"Clanton Gordon, Smith Lynn G.","Gelosia : cos'è, come nasce, come affrontarla",,Savelli,1978,Avaiti De Lia; stato di conservazione pessimo,,,,,,
,Polo Liceale,armadio 5,volume,Clark Ian,Globalizzazione e frammentazione : le relazioni internazionali nel XX secolo,,Il mulino,,,88-15-08112-7,,,,,
,Polo Liceale,armadio 9,volume,Clarke Lindsay,La guerra di Troia,,Sonzogno,,,88-454-1161-3,,,,,
,Polo Liceale,armadio 11,volume,Clavell James,Shogun,Milano,Sonzogno,1978,Avaiti Dalia,,,,,Lanzillo Grazia,
,Polo Liceale,Armadio 6,volume,"Clifton, Gario, Tabone",Patchwork 4,Torino,Petrini,1986,Testo scolastico,,,,,,
,Polo Liceale,armadio 5,volume,"Clough Shepard, Rapp Richard",Storia economica d'Europa:lo sviluppo economico della civiltà occidentale,Roma,Editori riuniti,1984 ©,,88-359-3453-2,330.94,,,,
,Polo Liceale,armadio 5,volume,Cobb Richard,Reazioni alla rivoluzione francese,,Adelphi,,,88-459-0738-4,944.04.00,STORIA DELLA FRANCIA. RIVOLUZIONE,,,
